parms,values
logit.b,0.5167924297663454
log.c_min,0.5795716491838687
logit.epsilon,0.23576906151074983
logit.sigma,0.4936291171613274
log.Ts,0.9372787695877297
log.g,0.9892290453029187
logit.Tm,0.4150240729531719
