step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,788,sequential,0,0,0
1000,788,sequential,0,0,0
1825,788,sequential,0.36,0,0
3650,788,sequential,0.54,0,0
5000,788,sequential,0.58,0,0
7300,788,sequential,0.61,0,0
10000,788,sequential,0.64,0,0
