step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,898,sequential,0,0,0
1000,898,sequential,0,0,0
1825,898,sequential,0,0,0
3650,898,sequential,0,0,0
5000,898,sequential,0,0,0
7300,898,sequential,0,0,0
10000,898,sequential,0,0,0
