step,avg_drugs_lost,avg_all3_lost,parameter_comb,strategy
730,0,0,851,sequential
1000,0,0,851,sequential
1825,0.13,0,851,sequential
3650,0.76,0,851,sequential
5000,0.77,0,851,sequential
7300,0.82,0,851,sequential
10000,0.88,0.01,851,sequential
