step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,893,sequential,0,0,0
1000,893,sequential,0,0,0
1825,893,sequential,0,0,0
3650,893,sequential,0,0,0
5000,893,sequential,0,0,0
7300,893,sequential,0.01,0,0
10000,893,sequential,0.04,0,0
