step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,846,sequential,0,0,0
1000,846,sequential,0,0,0
1825,846,sequential,0,0,0
3650,846,sequential,0.26,0,0
5000,846,sequential,0.36,0,0
7300,846,sequential,0.46,0.04,0.01
10000,846,sequential,0.46,0.09,0.09
