step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,938,sequential,0,0,0
1000,938,sequential,0.03,0,0
1825,938,sequential,0.89,0,0
3650,938,sequential,1,0,0
5000,938,sequential,1,0,0
7300,938,sequential,1,0,0
10000,938,sequential,1,0,0
