step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,691,equal allocation,0,0,0
1000,691,equal allocation,0,0,0
1825,691,equal allocation,0,0,0
3650,691,equal allocation,0,0,0
5000,691,equal allocation,0,0,0
7300,691,equal allocation,0,0,0
10000,691,equal allocation,0.13,0,0
