step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,155,equal allocation,0,0,0
1000,155,equal allocation,0,0,0
1825,155,equal allocation,0,0,0
3650,155,equal allocation,0.01,0.01,0
5000,155,equal allocation,1,0.02,0
7300,155,equal allocation,1,0.96,0.77
10000,155,equal allocation,1,1,1
