step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,429,equal allocation,0,0,0
1000,429,equal allocation,0,0,0
1825,429,equal allocation,0,0,0
3650,429,equal allocation,0,0,0
5000,429,equal allocation,0,0,0
7300,429,equal allocation,0,0,0
10000,429,equal allocation,0.46,0,0
