step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,224,equal allocation,0,0,0
1000,224,equal allocation,0,0,0
1825,224,equal allocation,0.07,0,0
3650,224,equal allocation,1,1,0.67
5000,224,equal allocation,1,1,1
7300,224,equal allocation,1,1,1
10000,224,equal allocation,1,1,1
