step,parameter_comb,strategy,prop_runs_prevC_above
5000,35,equal allocation,0
7300,35,equal allocation,0
10000,35,equal allocation,0
730,36,equal allocation,0
1000,36,equal allocation,0
1825,36,equal allocation,0
3650,36,equal allocation,0
5000,36,equal allocation,0
7300,36,equal allocation,0
10000,36,equal allocation,0.01
730,37,equal allocation,0
1000,37,equal allocation,0
1825,37,equal allocation,0
3650,37,equal allocation,0
5000,37,equal allocation,0
7300,37,equal allocation,0
10000,37,equal allocation,0.01
730,38,equal allocation,0
1000,38,equal allocation,0
1825,38,equal allocation,0
3650,38,equal allocation,0
5000,38,equal allocation,0
7300,38,equal allocation,0
10000,38,equal allocation,0
730,39,equal allocation,0
1000,39,equal allocation,0
1825,39,equal allocation,0
3650,39,equal allocation,0
5000,39,equal allocation,0
7300,39,equal allocation,0
10000,39,equal allocation,0
730,40,equal allocation,0
1000,40,equal allocation,0
1825,40,equal allocation,0
3650,40,equal allocation,0.89
5000,40,equal allocation,1
7300,40,equal allocation,1
10000,40,equal allocation,1
730,41,equal allocation,0
1000,41,equal allocation,0
1825,41,equal allocation,0
3650,41,equal allocation,0
5000,41,equal allocation,0
7300,41,equal allocation,0
10000,41,equal allocation,0
730,42,equal allocation,0
1000,42,equal allocation,0
1825,42,equal allocation,0
3650,42,equal allocation,0
5000,42,equal allocation,0.01
7300,42,equal allocation,0.72
10000,42,equal allocation,0.97
730,43,equal allocation,0
1000,43,equal allocation,0
1825,43,equal allocation,0
3650,43,equal allocation,0.32
5000,43,equal allocation,0.88
7300,43,equal allocation,1
10000,43,equal allocation,1
730,44,equal allocation,0
1000,44,equal allocation,0
1825,44,equal allocation,0
3650,44,equal allocation,0
5000,44,equal allocation,0.3
7300,44,equal allocation,1
10000,44,equal allocation,1
730,45,equal allocation,0
1000,45,equal allocation,0
1825,45,equal allocation,0
3650,45,equal allocation,0
5000,45,equal allocation,0
7300,45,equal allocation,0.44
10000,45,equal allocation,1
730,46,equal allocation,0
1000,46,equal allocation,0
1825,46,equal allocation,0
3650,46,equal allocation,0
5000,46,equal allocation,0
7300,46,equal allocation,0
10000,46,equal allocation,0
730,47,equal allocation,0
1000,47,equal allocation,0
1825,47,equal allocation,0
3650,47,equal allocation,0
5000,47,equal allocation,0
7300,47,equal allocation,0
10000,47,equal allocation,0
730,48,equal allocation,0
1000,48,equal allocation,0
1825,48,equal allocation,0.04
3650,48,equal allocation,1
5000,48,equal allocation,1
7300,48,equal allocation,1
10000,48,equal allocation,1
730,49,equal allocation,0
1000,49,equal allocation,0
1825,49,equal allocation,0
3650,49,equal allocation,0
5000,49,equal allocation,0
7300,49,equal allocation,0
10000,49,equal allocation,0.3
730,50,equal allocation,0
1000,50,equal allocation,0
1825,50,equal allocation,0
3650,50,equal allocation,0.03
5000,50,equal allocation,0.92
7300,50,equal allocation,1
10000,50,equal allocation,1
730,51,equal allocation,0
1000,51,equal allocation,0
1825,51,equal allocation,0
3650,51,equal allocation,0.01
5000,51,equal allocation,0.84
7300,51,equal allocation,1
10000,51,equal allocation,1
730,52,equal allocation,0
1000,52,equal allocation,0
1825,52,equal allocation,0
3650,52,equal allocation,0
5000,52,equal allocation,0
7300,52,equal allocation,0
10000,52,equal allocation,0
730,53,equal allocation,0
1000,53,equal allocation,0
1825,53,equal allocation,0
3650,53,equal allocation,0
5000,53,equal allocation,0
7300,53,equal allocation,0
10000,53,equal allocation,0.44
730,54,equal allocation,0
1000,54,equal allocation,0
1825,54,equal allocation,0
3650,54,equal allocation,0
5000,54,equal allocation,0
7300,54,equal allocation,0
10000,54,equal allocation,0
730,55,equal allocation,0
1000,55,equal allocation,0
1825,55,equal allocation,0
3650,55,equal allocation,0
5000,55,equal allocation,0.01
7300,55,equal allocation,0.53
10000,55,equal allocation,0.99
730,56,equal allocation,0
1000,56,equal allocation,0
1825,56,equal allocation,0
3650,56,equal allocation,0
5000,56,equal allocation,0
7300,56,equal allocation,0
10000,56,equal allocation,0.12
730,57,equal allocation,0
1000,57,equal allocation,0
1825,57,equal allocation,0
3650,57,equal allocation,0
5000,57,equal allocation,0
7300,57,equal allocation,0
10000,57,equal allocation,0
730,58,equal allocation,0
1000,58,equal allocation,0
1825,58,equal allocation,0
3650,58,equal allocation,0
5000,58,equal allocation,0
7300,58,equal allocation,0
10000,58,equal allocation,0
730,59,equal allocation,0
1000,59,equal allocation,0
1825,59,equal allocation,0
3650,59,equal allocation,0
5000,59,equal allocation,0
7300,59,equal allocation,0.3
10000,59,equal allocation,0.85
730,60,equal allocation,0
1000,60,equal allocation,0
1825,60,equal allocation,0
3650,60,equal allocation,0
5000,60,equal allocation,0
7300,60,equal allocation,0
10000,60,equal allocation,0.15
730,61,equal allocation,0
1000,61,equal allocation,0
1825,61,equal allocation,0
3650,61,equal allocation,0
5000,61,equal allocation,0
7300,61,equal allocation,0.08
10000,61,equal allocation,0.77
730,62,equal allocation,0
1000,62,equal allocation,0
1825,62,equal allocation,0
3650,62,equal allocation,0
5000,62,equal allocation,0
7300,62,equal allocation,0.26
10000,62,equal allocation,1
730,63,equal allocation,0.23
1000,63,equal allocation,NA
1825,63,equal allocation,NA
3650,63,equal allocation,NA
5000,63,equal allocation,NA
7300,63,equal allocation,NA
10000,63,equal allocation,NA
730,64,equal allocation,0
1000,64,equal allocation,0
1825,64,equal allocation,0
3650,64,equal allocation,0
5000,64,equal allocation,0
7300,64,equal allocation,0
10000,64,equal allocation,0
730,65,equal allocation,0
1000,65,equal allocation,0
1825,65,equal allocation,0
3650,65,equal allocation,0.01
5000,65,equal allocation,0.17
7300,65,equal allocation,0.51
10000,65,equal allocation,0.79
730,66,equal allocation,0
1000,66,equal allocation,0
1825,66,equal allocation,0
3650,66,equal allocation,0
5000,66,equal allocation,0
7300,66,equal allocation,0
10000,66,equal allocation,0
730,67,equal allocation,0
1000,67,equal allocation,0
1825,67,equal allocation,0
3650,67,equal allocation,0
5000,67,equal allocation,0
7300,67,equal allocation,0.38
10000,67,equal allocation,0.98
730,68,equal allocation,0
1000,68,equal allocation,0
1825,68,equal allocation,0
3650,68,equal allocation,0
5000,68,equal allocation,0
7300,68,equal allocation,0
10000,68,equal allocation,0
730,69,equal allocation,0
1000,69,equal allocation,0
1825,69,equal allocation,0
3650,69,equal allocation,0
5000,69,equal allocation,0
7300,69,equal allocation,0
10000,69,equal allocation,0
730,70,equal allocation,0
1000,70,equal allocation,0
1825,70,equal allocation,0
3650,70,equal allocation,0
5000,70,equal allocation,0
7300,70,equal allocation,0.33
10000,70,equal allocation,0.93
730,71,equal allocation,0
1000,71,equal allocation,0
1825,71,equal allocation,0
3650,71,equal allocation,0
5000,71,equal allocation,0
7300,71,equal allocation,0
10000,71,equal allocation,0
730,72,equal allocation,0
1000,72,equal allocation,0
1825,72,equal allocation,0
3650,72,equal allocation,0
5000,72,equal allocation,0
7300,72,equal allocation,0
10000,72,equal allocation,0
730,73,equal allocation,0
1000,73,equal allocation,0
1825,73,equal allocation,0
3650,73,equal allocation,0
5000,73,equal allocation,0
7300,73,equal allocation,0
10000,73,equal allocation,0.02
730,74,equal allocation,0
