step,parameter_comb,strategy,prop_runs_prevC_above
3650,234,equal allocation,0
5000,234,equal allocation,0
7300,234,equal allocation,0
10000,234,equal allocation,0.07
730,235,equal allocation,0
1000,235,equal allocation,0
1825,235,equal allocation,0
3650,235,equal allocation,0
5000,235,equal allocation,0
7300,235,equal allocation,0
10000,235,equal allocation,0
730,236,equal allocation,0
1000,236,equal allocation,0
1825,236,equal allocation,0
3650,236,equal allocation,0.97
5000,236,equal allocation,0.99
7300,236,equal allocation,1
10000,236,equal allocation,1
730,237,equal allocation,0
1000,237,equal allocation,0
1825,237,equal allocation,0
3650,237,equal allocation,0
5000,237,equal allocation,0
7300,237,equal allocation,0
10000,237,equal allocation,0.08
730,238,equal allocation,0
1000,238,equal allocation,0
1825,238,equal allocation,0
3650,238,equal allocation,0
5000,238,equal allocation,0
7300,238,equal allocation,0
10000,238,equal allocation,0
730,239,equal allocation,0
1000,239,equal allocation,0
1825,239,equal allocation,0
3650,239,equal allocation,0
5000,239,equal allocation,0
7300,239,equal allocation,0
10000,239,equal allocation,0
730,240,equal allocation,0
1000,240,equal allocation,0
1825,240,equal allocation,0.15
3650,240,equal allocation,1
5000,240,equal allocation,1
7300,240,equal allocation,1
10000,240,equal allocation,1
730,241,equal allocation,0
1000,241,equal allocation,0
1825,241,equal allocation,0
3650,241,equal allocation,0
5000,241,equal allocation,0
7300,241,equal allocation,0
10000,241,equal allocation,0
730,242,equal allocation,0
1000,242,equal allocation,0
1825,242,equal allocation,0
3650,242,equal allocation,0.01
5000,242,equal allocation,0.59
7300,242,equal allocation,1
10000,242,equal allocation,1
730,243,equal allocation,0
1000,243,equal allocation,0
1825,243,equal allocation,0
3650,243,equal allocation,0
5000,243,equal allocation,0
7300,243,equal allocation,0
10000,243,equal allocation,0
730,244,equal allocation,0
1000,244,equal allocation,0
1825,244,equal allocation,0
3650,244,equal allocation,0
5000,244,equal allocation,0
7300,244,equal allocation,0
10000,244,equal allocation,0
730,245,equal allocation,0
1000,245,equal allocation,0
1825,245,equal allocation,0
3650,245,equal allocation,0
5000,245,equal allocation,0
7300,245,equal allocation,0
10000,245,equal allocation,0.01
730,246,equal allocation,0
1000,246,equal allocation,0
1825,246,equal allocation,0
3650,246,equal allocation,0.01
5000,246,equal allocation,NA
7300,246,equal allocation,NA
10000,246,equal allocation,NA
730,247,equal allocation,0
1000,247,equal allocation,0
1825,247,equal allocation,0
3650,247,equal allocation,0
5000,247,equal allocation,0
7300,247,equal allocation,0
10000,247,equal allocation,0.01
730,248,equal allocation,0
1000,248,equal allocation,0
1825,248,equal allocation,0
3650,248,equal allocation,0
5000,248,equal allocation,0
7300,248,equal allocation,0.8
10000,248,equal allocation,1
730,249,equal allocation,0
1000,249,equal allocation,0
1825,249,equal allocation,0
3650,249,equal allocation,0
5000,249,equal allocation,0
7300,249,equal allocation,0
10000,249,equal allocation,0
730,250,equal allocation,0
1000,250,equal allocation,0
1825,250,equal allocation,0
3650,250,equal allocation,0
5000,250,equal allocation,0
7300,250,equal allocation,0
10000,250,equal allocation,0
730,251,equal allocation,0
1000,251,equal allocation,0
1825,251,equal allocation,0
3650,251,equal allocation,0
5000,251,equal allocation,0
7300,251,equal allocation,0
10000,251,equal allocation,0.19
730,252,equal allocation,0
1000,252,equal allocation,0
1825,252,equal allocation,0
3650,252,equal allocation,0
5000,252,equal allocation,0
7300,252,equal allocation,0
10000,252,equal allocation,0.13
730,253,equal allocation,0
1000,253,equal allocation,0
1825,253,equal allocation,0
3650,253,equal allocation,0
5000,253,equal allocation,0
7300,253,equal allocation,0
10000,253,equal allocation,0
730,254,equal allocation,0
1000,254,equal allocation,0
1825,254,equal allocation,0
3650,254,equal allocation,0
5000,254,equal allocation,0
7300,254,equal allocation,0.01
10000,254,equal allocation,0.65
730,255,equal allocation,0
1000,255,equal allocation,0
1825,255,equal allocation,0
3650,255,equal allocation,0
5000,255,equal allocation,0
7300,255,equal allocation,0
10000,255,equal allocation,0.27
730,256,equal allocation,0
1000,256,equal allocation,0
1825,256,equal allocation,0
3650,256,equal allocation,0
5000,256,equal allocation,0.02
7300,256,equal allocation,0.66
10000,256,equal allocation,1
730,257,equal allocation,0
1000,257,equal allocation,0
1825,257,equal allocation,0
3650,257,equal allocation,0
5000,257,equal allocation,0.28
7300,257,equal allocation,0.98
10000,257,equal allocation,1
730,258,equal allocation,0
1000,258,equal allocation,0
1825,258,equal allocation,0
3650,258,equal allocation,0
5000,258,equal allocation,0
7300,258,equal allocation,0
10000,258,equal allocation,0
730,259,equal allocation,0
1000,259,equal allocation,0
1825,259,equal allocation,0
3650,259,equal allocation,0
5000,259,equal allocation,0
7300,259,equal allocation,0
10000,259,equal allocation,0.02
730,260,equal allocation,0
1000,260,equal allocation,0
1825,260,equal allocation,0
3650,260,equal allocation,0.04
5000,260,equal allocation,0.92
7300,260,equal allocation,1
10000,260,equal allocation,1
730,261,equal allocation,0
1000,261,equal allocation,0
1825,261,equal allocation,0
3650,261,equal allocation,0
5000,261,equal allocation,0
7300,261,equal allocation,0
10000,261,equal allocation,0
730,262,equal allocation,0
1000,262,equal allocation,0
1825,262,equal allocation,0
3650,262,equal allocation,0.02
5000,262,equal allocation,0.84
7300,262,equal allocation,1
10000,262,equal allocation,1
730,263,equal allocation,0
1000,263,equal allocation,0
1825,263,equal allocation,0
3650,263,equal allocation,0
5000,263,equal allocation,0.01
7300,263,equal allocation,0.73
10000,263,equal allocation,1
730,264,equal allocation,0
1000,264,equal allocation,0
1825,264,equal allocation,0
3650,264,equal allocation,0.99
5000,264,equal allocation,1
7300,264,equal allocation,1
10000,264,equal allocation,1
730,265,equal allocation,0
1000,265,equal allocation,0
1825,265,equal allocation,0
3650,265,equal allocation,0
5000,265,equal allocation,0
7300,265,equal allocation,0
10000,265,equal allocation,0
730,266,equal allocation,0
1000,266,equal allocation,0
1825,266,equal allocation,0
3650,266,equal allocation,0
5000,266,equal allocation,0
7300,266,equal allocation,0
10000,266,equal allocation,0
730,267,equal allocation,0
1000,267,equal allocation,0
1825,267,equal allocation,0
3650,267,equal allocation,0
5000,267,equal allocation,0
7300,267,equal allocation,0
10000,267,equal allocation,0
730,268,equal allocation,0
1000,268,equal allocation,0
1825,268,equal allocation,0
3650,268,equal allocation,0
5000,268,equal allocation,0
7300,268,equal allocation,0
10000,268,equal allocation,0
730,269,equal allocation,0
1000,269,equal allocation,0
1825,269,equal allocation,0
3650,269,equal allocation,0
5000,269,equal allocation,0
7300,269,equal allocation,0
10000,269,equal allocation,0
730,270,equal allocation,0
1000,270,equal allocation,0
1825,270,equal allocation,0
3650,270,equal allocation,0
5000,270,equal allocation,0
7300,270,equal allocation,0
10000,270,equal allocation,0
730,271,equal allocation,0
1000,271,equal allocation,0
1825,271,equal allocation,0
3650,271,equal allocation,0.1
5000,271,equal allocation,0.71
7300,271,equal allocation,1
10000,271,equal allocation,1
730,272,equal allocation,0
1000,272,equal allocation,0
1825,272,equal allocation,0
3650,272,equal allocation,0
5000,272,equal allocation,0
7300,272,equal allocation,0.18
10000,272,equal allocation,0.78
730,273,equal allocation,0
1000,273,equal allocation,0
1825,273,equal allocation,0
3650,273,equal allocation,0
5000,273,equal allocation,0
7300,273,equal allocation,0
10000,273,equal allocation,0
730,274,equal allocation,0
1000,274,equal allocation,0
1825,274,equal allocation,0
3650,274,equal allocation,0
5000,274,equal allocation,0
7300,274,equal allocation,0
10000,274,equal allocation,0
730,275,equal allocation,0
1000,275,equal allocation,0
1825,275,equal allocation,0
3650,275,equal allocation,0
5000,275,equal allocation,0
7300,275,equal allocation,0.01
10000,275,equal allocation,0.02
730,276,equal allocation,0
1000,276,equal allocation,0
1825,276,equal allocation,0
3650,276,equal allocation,0
5000,276,equal allocation,0
7300,276,equal allocation,0
10000,276,equal allocation,0
730,277,equal allocation,0
1000,277,equal allocation,0
1825,277,equal allocation,0
3650,277,equal allocation,0
5000,277,equal allocation,0.7
7300,277,equal allocation,1
10000,277,equal allocation,1
730,278,equal allocation,0
1000,278,equal allocation,0
1825,278,equal allocation,0
3650,278,equal allocation,0.03
5000,278,equal allocation,0.56
7300,278,equal allocation,1
10000,278,equal allocation,1
730,279,equal allocation,0
1000,279,equal allocation,0
1825,279,equal allocation,0
3650,279,equal allocation,0
5000,279,equal allocation,0.09
7300,279,equal allocation,1
10000,279,equal allocation,1
730,280,equal allocation,0
1000,280,equal allocation,0
1825,280,equal allocation,0
3650,280,equal allocation,0
5000,280,equal allocation,0
7300,280,equal allocation,0
10000,280,equal allocation,0
730,281,equal allocation,0
1000,281,equal allocation,0
1825,281,equal allocation,0
3650,281,equal allocation,0
5000,281,equal allocation,NA
7300,281,equal allocation,NA
10000,281,equal allocation,NA
730,282,equal allocation,0
1000,282,equal allocation,0
1825,282,equal allocation,0
3650,282,equal allocation,0
5000,282,equal allocation,0
7300,282,equal allocation,0.22
10000,282,equal allocation,0.93
730,283,equal allocation,0
1000,283,equal allocation,0
1825,283,equal allocation,0
3650,283,equal allocation,0
5000,283,equal allocation,0
7300,283,equal allocation,0
10000,283,equal allocation,0
730,284,equal allocation,0
1000,284,equal allocation,0
1825,284,equal allocation,0
3650,284,equal allocation,0
5000,284,equal allocation,0
7300,284,equal allocation,0
10000,284,equal allocation,0
730,285,equal allocation,0
1000,285,equal allocation,0
1825,285,equal allocation,0
3650,285,equal allocation,0
5000,285,equal allocation,0
7300,285,equal allocation,0
10000,285,equal allocation,0.02
730,286,equal allocation,0
1000,286,equal allocation,0
1825,286,equal allocation,0
3650,286,equal allocation,0.01
5000,286,equal allocation,0.41
7300,286,equal allocation,0.99
10000,286,equal allocation,1
730,287,equal allocation,0
1000,287,equal allocation,0
1825,287,equal allocation,0
3650,287,equal allocation,0
5000,287,equal allocation,0
7300,287,equal allocation,0
10000,287,equal allocation,0
730,288,equal allocation,0
1000,288,equal allocation,0
1825,288,equal allocation,0
3650,288,equal allocation,0.03
5000,288,equal allocation,0.73
7300,288,equal allocation,1
10000,288,equal allocation,1
730,289,equal allocation,0
1000,289,equal allocation,0
1825,289,equal allocation,0.87
3650,289,equal allocation,1
5000,289,equal allocation,1
7300,289,equal allocation,1
10000,289,equal allocation,1
730,290,equal allocation,0
1000,290,equal allocation,0
1825,290,equal allocation,0
3650,290,equal allocation,0
5000,290,equal allocation,0
7300,290,equal allocation,0.03
10000,290,equal allocation,0.83
730,291,equal allocation,0
1000,291,equal allocation,0
1825,291,equal allocation,0
3650,291,equal allocation,0
5000,291,equal allocation,0
7300,291,equal allocation,0.1
10000,291,equal allocation,0.89
730,292,equal allocation,0
1000,292,equal allocation,0
1825,292,equal allocation,0
3650,292,equal allocation,0
5000,292,equal allocation,0
7300,292,equal allocation,0
10000,292,equal allocation,0
730,293,equal allocation,0
1000,293,equal allocation,0
1825,293,equal allocation,0
3650,293,equal allocation,0.9
5000,293,equal allocation,1
7300,293,equal allocation,1
10000,293,equal allocation,1
730,294,equal allocation,0
1000,294,equal allocation,0
1825,294,equal allocation,0
3650,294,equal allocation,0
5000,294,equal allocation,0
7300,294,equal allocation,0.02
10000,294,equal allocation,0.86
730,295,equal allocation,0
1000,295,equal allocation,0
1825,295,equal allocation,0
3650,295,equal allocation,0
5000,295,equal allocation,0
7300,295,equal allocation,0
10000,295,equal allocation,0
730,296,equal allocation,0
1000,296,equal allocation,0
1825,296,equal allocation,0
3650,296,equal allocation,0
5000,296,equal allocation,0
7300,296,equal allocation,0
10000,296,equal allocation,0
730,297,equal allocation,0
1000,297,equal allocation,0
1825,297,equal allocation,0
3650,297,equal allocation,0
5000,297,equal allocation,0
7300,297,equal allocation,0
10000,297,equal allocation,0.06
730,298,equal allocation,0
1000,298,equal allocation,0
1825,298,equal allocation,0.87
3650,298,equal allocation,1
5000,298,equal allocation,1
7300,298,equal allocation,1
10000,298,equal allocation,1
730,299,equal allocation,0
1000,299,equal allocation,0
1825,299,equal allocation,0
3650,299,equal allocation,0
5000,299,equal allocation,0
7300,299,equal allocation,0.52
10000,299,equal allocation,0.98
730,300,equal allocation,0
1000,300,equal allocation,0
1825,300,equal allocation,0
3650,300,equal allocation,0.9
5000,300,equal allocation,1
7300,300,equal allocation,1
10000,300,equal allocation,1
730,301,equal allocation,0
1000,301,equal allocation,0
1825,301,equal allocation,0
3650,301,equal allocation,0
5000,301,equal allocation,0.09
7300,301,equal allocation,0.96
10000,301,equal allocation,1
730,302,equal allocation,0
1000,302,equal allocation,0
1825,302,equal allocation,0
3650,302,equal allocation,0
5000,302,equal allocation,0
7300,302,equal allocation,0
10000,302,equal allocation,0
730,303,equal allocation,0
1000,303,equal allocation,0
1825,303,equal allocation,0
3650,303,equal allocation,0
5000,303,equal allocation,0
7300,303,equal allocation,0
10000,303,equal allocation,0
730,304,equal allocation,0
1000,304,equal allocation,0
1825,304,equal allocation,0
3650,304,equal allocation,0
5000,304,equal allocation,0
7300,304,equal allocation,0
10000,304,equal allocation,0
730,305,equal allocation,0
1000,305,equal allocation,0
1825,305,equal allocation,0
3650,305,equal allocation,0
5000,305,equal allocation,0
7300,305,equal allocation,0
10000,305,equal allocation,0.35
730,306,equal allocation,0
1000,306,equal allocation,0
1825,306,equal allocation,0
3650,306,equal allocation,0
5000,306,equal allocation,0
7300,306,equal allocation,0
10000,306,equal allocation,0
730,307,equal allocation,0
1000,307,equal allocation,0
1825,307,equal allocation,0
3650,307,equal allocation,0
5000,307,equal allocation,0.04
7300,307,equal allocation,0.94
10000,307,equal allocation,1
730,308,equal allocation,0
1000,308,equal allocation,0
1825,308,equal allocation,0
3650,308,equal allocation,0.25
5000,308,equal allocation,0.52
7300,308,equal allocation,0.77
10000,308,equal allocation,0.92
730,309,equal allocation,0
1000,309,equal allocation,0
1825,309,equal allocation,0
3650,309,equal allocation,0
5000,309,equal allocation,0
7300,309,equal allocation,0
10000,309,equal allocation,0
730,310,equal allocation,0
1000,310,equal allocation,0
1825,310,equal allocation,0
3650,310,equal allocation,0.79
5000,310,equal allocation,1
7300,310,equal allocation,1
10000,310,equal allocation,1
730,311,equal allocation,0
1000,311,equal allocation,0
1825,311,equal allocation,0
3650,311,equal allocation,0
5000,311,equal allocation,0
7300,311,equal allocation,0
10000,311,equal allocation,0.03
730,312,equal allocation,0
1000,312,equal allocation,0
1825,312,equal allocation,0
3650,312,equal allocation,0
5000,312,equal allocation,0
7300,312,equal allocation,0
10000,312,equal allocation,0.04
730,313,equal allocation,0
1000,313,equal allocation,0
1825,313,equal allocation,0
3650,313,equal allocation,0
5000,313,equal allocation,0
7300,313,equal allocation,0
10000,313,equal allocation,0
730,314,equal allocation,0
1000,314,equal allocation,0
1825,314,equal allocation,0
3650,314,equal allocation,0
5000,314,equal allocation,0
7300,314,equal allocation,0
10000,314,equal allocation,0
730,315,equal allocation,0
1000,315,equal allocation,0
1825,315,equal allocation,0
3650,315,equal allocation,0
5000,315,equal allocation,0
7300,315,equal allocation,0
10000,315,equal allocation,0
730,316,equal allocation,0
1000,316,equal allocation,0
1825,316,equal allocation,0
3650,316,equal allocation,0
5000,316,equal allocation,0.02
7300,316,equal allocation,0.72
10000,316,equal allocation,0.98
730,317,equal allocation,0
1000,317,equal allocation,0
1825,317,equal allocation,0
3650,317,equal allocation,0
5000,317,equal allocation,0
7300,317,equal allocation,0.06
10000,317,equal allocation,0.67
730,318,equal allocation,0
1000,318,equal allocation,0
1825,318,equal allocation,0
3650,318,equal allocation,0
5000,318,equal allocation,0
7300,318,equal allocation,0
10000,318,equal allocation,0
730,319,equal allocation,0
1000,319,equal allocation,0
1825,319,equal allocation,0
3650,319,equal allocation,0.87
5000,319,equal allocation,1
7300,319,equal allocation,1
10000,319,equal allocation,1
730,320,equal allocation,0
1000,320,equal allocation,0
1825,320,equal allocation,0
3650,320,equal allocation,0.05
5000,320,equal allocation,0.62
7300,320,equal allocation,1
10000,320,equal allocation,1
730,321,equal allocation,0
1000,321,equal allocation,0
1825,321,equal allocation,0
3650,321,equal allocation,0.42
5000,321,equal allocation,0.97
7300,321,equal allocation,1
10000,321,equal allocation,1
730,322,equal allocation,0
1000,322,equal allocation,0
1825,322,equal allocation,0
3650,322,equal allocation,0
5000,322,equal allocation,0
7300,322,equal allocation,0
10000,322,equal allocation,0
730,323,equal allocation,0
1000,323,equal allocation,0
1825,323,equal allocation,0
3650,323,equal allocation,0
5000,323,equal allocation,0
7300,323,equal allocation,0
10000,323,equal allocation,0
730,324,equal allocation,0
1000,324,equal allocation,0
1825,324,equal allocation,0
3650,324,equal allocation,0
5000,324,equal allocation,0
7300,324,equal allocation,0
10000,324,equal allocation,0
730,325,equal allocation,0
1000,325,equal allocation,0
1825,325,equal allocation,0
3650,325,equal allocation,0
5000,325,equal allocation,0
7300,325,equal allocation,0
10000,325,equal allocation,0
730,326,equal allocation,0
1000,326,equal allocation,0
1825,326,equal allocation,0
3650,326,equal allocation,0
5000,326,equal allocation,0
7300,326,equal allocation,0
10000,326,equal allocation,0
730,327,equal allocation,0
1000,327,equal allocation,0
1825,327,equal allocation,0
3650,327,equal allocation,0
5000,327,equal allocation,0
7300,327,equal allocation,0
10000,327,equal allocation,0
730,328,equal allocation,0
1000,328,equal allocation,0
1825,328,equal allocation,0
3650,328,equal allocation,0.77
5000,328,equal allocation,1
7300,328,equal allocation,1
10000,328,equal allocation,1
730,329,equal allocation,0
1000,329,equal allocation,0
1825,329,equal allocation,0
3650,329,equal allocation,0
5000,329,equal allocation,0
7300,329,equal allocation,0
10000,329,equal allocation,0
730,330,equal allocation,0
1000,330,equal allocation,0
1825,330,equal allocation,0
3650,330,equal allocation,0
5000,330,equal allocation,0
7300,330,equal allocation,0.01
10000,330,equal allocation,0.44
730,331,equal allocation,0
1000,331,equal allocation,0
1825,331,equal allocation,0
3650,331,equal allocation,0
5000,331,equal allocation,0
7300,331,equal allocation,0
10000,331,equal allocation,0
730,332,equal allocation,0
1000,332,equal allocation,0
1825,332,equal allocation,0
3650,332,equal allocation,0
5000,332,equal allocation,0
7300,332,equal allocation,0
10000,332,equal allocation,0
730,333,equal allocation,0
1000,333,equal allocation,0
1825,333,equal allocation,0
3650,333,equal allocation,0
5000,333,equal allocation,0
7300,333,equal allocation,0
10000,333,equal allocation,0.14
730,334,equal allocation,0
1000,334,equal allocation,0
1825,334,equal allocation,0
3650,334,equal allocation,0
5000,334,equal allocation,0
7300,334,equal allocation,0
10000,334,equal allocation,0
730,335,equal allocation,0
1000,335,equal allocation,0
1825,335,equal allocation,0
3650,335,equal allocation,0
5000,335,equal allocation,0
7300,335,equal allocation,0
10000,335,equal allocation,0
730,336,equal allocation,0
1000,336,equal allocation,0
1825,336,equal allocation,0
3650,336,equal allocation,0
5000,336,equal allocation,0
7300,336,equal allocation,0
10000,336,equal allocation,0
730,337,equal allocation,0
1000,337,equal allocation,0
1825,337,equal allocation,0
3650,337,equal allocation,0
5000,337,equal allocation,0
7300,337,equal allocation,0
10000,337,equal allocation,0
730,338,equal allocation,0
1000,338,equal allocation,0
1825,338,equal allocation,0
3650,338,equal allocation,0
5000,338,equal allocation,0
7300,338,equal allocation,0
10000,338,equal allocation,0
730,339,equal allocation,0
1000,339,equal allocation,0
1825,339,equal allocation,0
3650,339,equal allocation,0
5000,339,equal allocation,0
7300,339,equal allocation,0
10000,339,equal allocation,0
730,340,equal allocation,0
1000,340,equal allocation,0
1825,340,equal allocation,0.38
3650,340,equal allocation,1
5000,340,equal allocation,1
7300,340,equal allocation,1
10000,340,equal allocation,1
730,341,equal allocation,0
1000,341,equal allocation,0
1825,341,equal allocation,0
3650,341,equal allocation,0
5000,341,equal allocation,0
7300,341,equal allocation,0
10000,341,equal allocation,0
730,342,equal allocation,0
1000,342,equal allocation,0
1825,342,equal allocation,0
3650,342,equal allocation,0.95
5000,342,equal allocation,1
7300,342,equal allocation,1
10000,342,equal allocation,1
730,343,equal allocation,0
1000,343,equal allocation,0
1825,343,equal allocation,0
3650,343,equal allocation,0
5000,343,equal allocation,0
7300,343,equal allocation,0.83
10000,343,equal allocation,1
730,344,equal allocation,0
1000,344,equal allocation,0
1825,344,equal allocation,0
3650,344,equal allocation,0
5000,344,equal allocation,0
7300,344,equal allocation,0
10000,344,equal allocation,0
730,345,equal allocation,0
1000,345,equal allocation,0
1825,345,equal allocation,0
3650,345,equal allocation,0
5000,345,equal allocation,0
7300,345,equal allocation,0.01
10000,345,equal allocation,0.38
730,346,equal allocation,0
1000,346,equal allocation,0
1825,346,equal allocation,0.04
3650,346,equal allocation,1
5000,346,equal allocation,1
7300,346,equal allocation,1
10000,346,equal allocation,1
730,347,equal allocation,0
1000,347,equal allocation,0
1825,347,equal allocation,0
3650,347,equal allocation,0
5000,347,equal allocation,0
7300,347,equal allocation,0
10000,347,equal allocation,0
730,348,equal allocation,0
1000,348,equal allocation,0
1825,348,equal allocation,0
3650,348,equal allocation,0
5000,348,equal allocation,0
7300,348,equal allocation,0
10000,348,equal allocation,0
730,349,equal allocation,0
1000,349,equal allocation,0
1825,349,equal allocation,0
3650,349,equal allocation,0
5000,349,equal allocation,0
7300,349,equal allocation,0
10000,349,equal allocation,0
730,350,equal allocation,0
1000,350,equal allocation,0
1825,350,equal allocation,0
3650,350,equal allocation,0
5000,350,equal allocation,0
7300,350,equal allocation,0
10000,350,equal allocation,0
730,351,equal allocation,0
1000,351,equal allocation,0
1825,351,equal allocation,0
3650,351,equal allocation,0
5000,351,equal allocation,0
7300,351,equal allocation,0
10000,351,equal allocation,0
730,352,equal allocation,0
1000,352,equal allocation,0
1825,352,equal allocation,0
3650,352,equal allocation,0.71
5000,352,equal allocation,1
7300,352,equal allocation,1
10000,352,equal allocation,1
730,353,equal allocation,0
1000,353,equal allocation,0
1825,353,equal allocation,0
3650,353,equal allocation,0
5000,353,equal allocation,0
7300,353,equal allocation,0
10000,353,equal allocation,0
730,354,equal allocation,0
1000,354,equal allocation,0
1825,354,equal allocation,0
3650,354,equal allocation,0
5000,354,equal allocation,0
7300,354,equal allocation,0.1
10000,354,equal allocation,0.61
730,355,equal allocation,0
1000,355,equal allocation,0
1825,355,equal allocation,0
3650,355,equal allocation,0
5000,355,equal allocation,0
7300,355,equal allocation,0.4
10000,355,equal allocation,0.9
730,356,equal allocation,0
1000,356,equal allocation,0
1825,356,equal allocation,0
3650,356,equal allocation,0.02
5000,356,equal allocation,0.51
7300,356,equal allocation,1
10000,356,equal allocation,1
730,357,equal allocation,0
1000,357,equal allocation,0
1825,357,equal allocation,0
3650,357,equal allocation,0
5000,357,equal allocation,0
7300,357,equal allocation,0
10000,357,equal allocation,0
730,358,equal allocation,0
1000,358,equal allocation,0
1825,358,equal allocation,0
3650,358,equal allocation,0
5000,358,equal allocation,0.01
7300,358,equal allocation,0.29
10000,358,equal allocation,0.94
730,359,equal allocation,0
1000,359,equal allocation,0
1825,359,equal allocation,0
3650,359,equal allocation,0
5000,359,equal allocation,0
7300,359,equal allocation,0.17
10000,359,equal allocation,0.54
730,360,equal allocation,0
1000,360,equal allocation,0
1825,360,equal allocation,0
3650,360,equal allocation,0
5000,360,equal allocation,0
7300,360,equal allocation,0
10000,360,equal allocation,0
730,361,equal allocation,0
1000,361,equal allocation,0
1825,361,equal allocation,0
3650,361,equal allocation,0
5000,361,equal allocation,0
7300,361,equal allocation,0
10000,361,equal allocation,0
730,362,equal allocation,0
1000,362,equal allocation,0
1825,362,equal allocation,0
3650,362,equal allocation,0
5000,362,equal allocation,0
7300,362,equal allocation,0
10000,362,equal allocation,0
730,363,equal allocation,0
1000,363,equal allocation,0
1825,363,equal allocation,0
3650,363,equal allocation,0.28
5000,363,equal allocation,0.67
7300,363,equal allocation,0.93
10000,363,equal allocation,0.99
730,364,equal allocation,0
1000,364,equal allocation,0
1825,364,equal allocation,0
3650,364,equal allocation,0
5000,364,equal allocation,0
7300,364,equal allocation,0
10000,364,equal allocation,0
730,365,equal allocation,0
1000,365,equal allocation,0
1825,365,equal allocation,0
3650,365,equal allocation,0
5000,365,equal allocation,0
7300,365,equal allocation,0
10000,365,equal allocation,0.38
730,366,equal allocation,0
1000,366,equal allocation,0
1825,366,equal allocation,0
3650,366,equal allocation,0
5000,366,equal allocation,0
7300,366,equal allocation,0
10000,366,equal allocation,0
730,367,equal allocation,0
1000,367,equal allocation,0
1825,367,equal allocation,0
3650,367,equal allocation,0.97
5000,367,equal allocation,1
7300,367,equal allocation,1
10000,367,equal allocation,1
730,368,equal allocation,0
1000,368,equal allocation,0
1825,368,equal allocation,0
3650,368,equal allocation,0
5000,368,equal allocation,0
7300,368,equal allocation,0
10000,368,equal allocation,0.01
730,369,equal allocation,0
1000,369,equal allocation,0
1825,369,equal allocation,0.01
3650,369,equal allocation,1
5000,369,equal allocation,1
7300,369,equal allocation,1
10000,369,equal allocation,1
730,370,equal allocation,0
1000,370,equal allocation,0
1825,370,equal allocation,0
3650,370,equal allocation,0
5000,370,equal allocation,0
7300,370,equal allocation,0.01
10000,370,equal allocation,0.12
730,371,equal allocation,0
1000,371,equal allocation,0
1825,371,equal allocation,0
3650,371,equal allocation,0.1
5000,371,equal allocation,0.33
7300,371,equal allocation,0.73
10000,371,equal allocation,0.92
730,372,equal allocation,0
1000,372,equal allocation,0
1825,372,equal allocation,0
3650,372,equal allocation,0
5000,372,equal allocation,0.02
7300,372,equal allocation,0.63
10000,372,equal allocation,0.99
730,373,equal allocation,0
1000,373,equal allocation,0
1825,373,equal allocation,0
3650,373,equal allocation,0
5000,373,equal allocation,0
7300,373,equal allocation,0
10000,373,equal allocation,0
730,374,equal allocation,0
1000,374,equal allocation,0
1825,374,equal allocation,0
3650,374,equal allocation,0
5000,374,equal allocation,0
7300,374,equal allocation,0
10000,374,equal allocation,0
730,375,equal allocation,0
1000,375,equal allocation,0
1825,375,equal allocation,0
3650,375,equal allocation,0
5000,375,equal allocation,0
7300,375,equal allocation,0
10000,375,equal allocation,0.02
730,376,equal allocation,0
1000,376,equal allocation,0
1825,376,equal allocation,0
3650,376,equal allocation,0
5000,376,equal allocation,0
7300,376,equal allocation,0
10000,376,equal allocation,0.01
730,377,equal allocation,0
1000,377,equal allocation,0
1825,377,equal allocation,0
3650,377,equal allocation,0
5000,377,equal allocation,0
7300,377,equal allocation,0
10000,377,equal allocation,0
730,378,equal allocation,0
1000,378,equal allocation,0
1825,378,equal allocation,0
3650,378,equal allocation,0
5000,378,equal allocation,0
7300,378,equal allocation,0
10000,378,equal allocation,0
730,379,equal allocation,0
1000,379,equal allocation,0
1825,379,equal allocation,0
3650,379,equal allocation,0.93
5000,379,equal allocation,1
7300,379,equal allocation,1
10000,379,equal allocation,1
730,380,equal allocation,0
1000,380,equal allocation,0
1825,380,equal allocation,0
3650,380,equal allocation,0
5000,380,equal allocation,0
7300,380,equal allocation,0
10000,380,equal allocation,0.03
730,381,equal allocation,0
1000,381,equal allocation,0
1825,381,equal allocation,0
3650,381,equal allocation,0
5000,381,equal allocation,0
7300,381,equal allocation,0
10000,381,equal allocation,0.02
730,382,equal allocation,0
1000,382,equal allocation,0
1825,382,equal allocation,0
3650,382,equal allocation,0
5000,382,equal allocation,0
7300,382,equal allocation,0
10000,382,equal allocation,0
730,383,equal allocation,0
1000,383,equal allocation,0
1825,383,equal allocation,0
3650,383,equal allocation,0
5000,383,equal allocation,0
7300,383,equal allocation,0
10000,383,equal allocation,0
730,384,equal allocation,0
1000,384,equal allocation,0
1825,384,equal allocation,0
3650,384,equal allocation,0.01
5000,384,equal allocation,0.02
7300,384,equal allocation,0.75
10000,384,equal allocation,1
730,385,equal allocation,0
1000,385,equal allocation,0
1825,385,equal allocation,0
3650,385,equal allocation,0.01
5000,385,equal allocation,0.68
7300,385,equal allocation,1
10000,385,equal allocation,1
730,386,equal allocation,0
1000,386,equal allocation,0
1825,386,equal allocation,0
3650,386,equal allocation,0
5000,386,equal allocation,0
