step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,742,equal allocation,0,0,0
1000,742,equal allocation,0,0,0
1825,742,equal allocation,0.01,0,0
3650,742,equal allocation,0.97,0,0
5000,742,equal allocation,1,0,0
7300,742,equal allocation,1,0.17,0.01
10000,742,equal allocation,1,0.58,0.25
