step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,237,sequential,0,0,0
1000,237,sequential,0.06,0,0
1825,237,sequential,1,0,0
3650,237,sequential,1,1,0
5000,237,sequential,1,1,0.06
7300,237,sequential,1,1,1
10000,237,sequential,1,1,1
