step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,773,sequential,0,0,0
1000,773,sequential,0.95,0,0
1825,773,sequential,1,0,0
3650,773,sequential,1,1,0
5000,773,sequential,1,1,0.7
7300,773,sequential,1,1,1
10000,773,sequential,1,1,1
