step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,848,sequential,0,0,0
1000,848,sequential,0.39,0,0
1825,848,sequential,1,0,0
3650,848,sequential,1,0.28,0
5000,848,sequential,1,1,0
7300,848,sequential,1,1,0.24
10000,848,sequential,1,1,0.91
