step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,651,sequential,0,0,0
1000,651,sequential,0.71,0,0
1825,651,sequential,1,0,0
3650,651,sequential,1,1,0
5000,651,sequential,1,1,0.47
7300,651,sequential,1,1,1
10000,651,sequential,1,1,1
