step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,959,sequential,1,1,0
1000,959,sequential,1,1,0
1825,959,sequential,1,1,1
3650,959,sequential,1,1,1
5000,959,sequential,1,1,1
7300,959,sequential,1,1,1
10000,959,sequential,1,1,1
