step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,110,sequential,0,0,0
1000,110,sequential,1,0,0
1825,110,sequential,1,0,0
3650,110,sequential,1,1,0
5000,110,sequential,1,1,0.91
7300,110,sequential,1,1,1
10000,110,sequential,1,1,1
