step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,706,sequential,1,0,0
1000,706,sequential,1,0.89,0
1825,706,sequential,1,1,0.45
3650,706,sequential,1,1,1
5000,706,sequential,1,1,1
7300,706,sequential,1,1,1
10000,706,sequential,1,1,1
