step,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above,strategy,Years
0,0,0,0,sequential,0
1,0,0,0,sequential,0.0027397260273972603
2,0,0,0,sequential,0.005479452054794521
3,0,0,0,sequential,0.00821917808219178
4,0,0,0,sequential,0.010958904109589041
5,0,0,0,sequential,0.0136986301369863
6,0,0,0,sequential,0.01643835616438356
7,0,0,0,sequential,0.019178082191780823
8,0,0,0,sequential,0.021917808219178082
9,0,0,0,sequential,0.024657534246575342
10,0,0,0,sequential,0.0273972602739726
11,0,0,0,sequential,0.030136986301369864
12,0,0,0,sequential,0.03287671232876712
13,0,0,0,sequential,0.03561643835616438
14,0,0,0,sequential,0.038356164383561646
15,0,0,0,sequential,0.0410958904109589
16,0,0,0,sequential,0.043835616438356165
17,0,0,0,sequential,0.04657534246575343
18,0,0,0,sequential,0.049315068493150684
19,0,0,0,sequential,0.052054794520547946
20,0,0,0,sequential,0.0547945205479452
21,0,0,0,sequential,0.057534246575342465
22,0,0,0,sequential,0.06027397260273973
23,0,0,0,sequential,0.06301369863013699
24,0,0,0,sequential,0.06575342465753424
25,0,0,0,sequential,0.0684931506849315
26,0,0,0,sequential,0.07123287671232877
27,0,0,0,sequential,0.07397260273972603
28,0,0,0,sequential,0.07671232876712329
29,0,0,0,sequential,0.07945205479452055
30,0,0,0,sequential,0.0821917808219178
31,0,0,0,sequential,0.08493150684931507
32,0,0,0,sequential,0.08767123287671233
33,0,0,0,sequential,0.09041095890410959
34,0,0,0,sequential,0.09315068493150686
35,0,0,0,sequential,0.0958904109589041
36,0,0,0,sequential,0.09863013698630137
37,0,0,0,sequential,0.10136986301369863
38,0,0,0,sequential,0.10410958904109589
39,0,0,0,sequential,0.10684931506849316
40,0,0,0,sequential,0.1095890410958904
41,0,0,0,sequential,0.11232876712328767
42,0,0,0,sequential,0.11506849315068493
43,0,0,0,sequential,0.1178082191780822
44,0,0,0,sequential,0.12054794520547946
45,0,0,0,sequential,0.1232876712328767
46,0,0,0,sequential,0.12602739726027398
47,0,0,0,sequential,0.12876712328767123
48,0,0,0,sequential,0.13150684931506848
49,0,0,0,sequential,0.13424657534246576
50,0,0,0,sequential,0.136986301369863
51,0,0,0,sequential,0.13972602739726028
52,0,0,0,sequential,0.14246575342465753
53,0,0,0,sequential,0.14520547945205478
54,0,0,0,sequential,0.14794520547945206
55,0,0,0,sequential,0.1506849315068493
56,0,0,0,sequential,0.15342465753424658
57,0,0,0,sequential,0.15616438356164383
58,0,0,0,sequential,0.1589041095890411
59,0,0,0,sequential,0.16164383561643836
60,0,0,0,sequential,0.1643835616438356
61,0,0,0,sequential,0.16712328767123288
62,0,0,0,sequential,0.16986301369863013
63,0,0,0,sequential,0.1726027397260274
64,0,0,0,sequential,0.17534246575342466
65,0,0,0,sequential,0.1780821917808219
66,0,0,0,sequential,0.18082191780821918
67,0,0,0,sequential,0.18356164383561643
68,0,0,0,sequential,0.1863013698630137
69,0,0,0,sequential,0.18904109589041096
70,0,0,0,sequential,0.1917808219178082
71,0,0,0,sequential,0.19452054794520549
72,0,0,0,sequential,0.19726027397260273
73,0,0,0,sequential,0.2
74,0,0,0,sequential,0.20273972602739726
75,0,0,0,sequential,0.2054794520547945
76,0,0,0,sequential,0.20821917808219179
77,0,0,0,sequential,0.21095890410958903
78,0,0,0,sequential,0.2136986301369863
79,0,0,0,sequential,0.21643835616438356
