step,avg_drugs_lost,avg_all3_lost,parameter_comb,strategy
10000,0,0,30,equal allocation
730,0,0,31,equal allocation
1000,0,0,31,equal allocation
1825,0,0,31,equal allocation
3650,0,0,31,equal allocation
5000,0,0,31,equal allocation
7300,0,0,31,equal allocation
10000,0,0,31,equal allocation
730,0,0,32,equal allocation
1000,0,0,32,equal allocation
1825,0,0,32,equal allocation
3650,0,0,32,equal allocation
5000,0,0,32,equal allocation
7300,0,0,32,equal allocation
10000,0,0,32,equal allocation
730,0,0,33,equal allocation
1000,0,0,33,equal allocation
1825,0,0,33,equal allocation
3650,0,0,33,equal allocation
5000,0,0,33,equal allocation
7300,0,0,33,equal allocation
10000,0,0,33,equal allocation
730,0,0,34,equal allocation
1000,0,0,34,equal allocation
1825,0,0,34,equal allocation
3650,0,0,34,equal allocation
5000,0,0,34,equal allocation
7300,0,0,34,equal allocation
10000,0,0,34,equal allocation
730,0,0,35,equal allocation
1000,0,0,35,equal allocation
1825,0,0,35,equal allocation
3650,0,0,35,equal allocation
5000,0,0,35,equal allocation
7300,0,0,35,equal allocation
10000,0,0,35,equal allocation
730,0,0,36,equal allocation
1000,0,0,36,equal allocation
1825,0,0,36,equal allocation
3650,0,0,36,equal allocation
5000,0,0,36,equal allocation
7300,0,0,36,equal allocation
10000,0,0,36,equal allocation
730,0,0,37,equal allocation
1000,0,0,37,equal allocation
1825,0,0,37,equal allocation
3650,0,0,37,equal allocation
5000,0,0,37,equal allocation
7300,0,0,37,equal allocation
10000,0,0,37,equal allocation
730,0,0,38,equal allocation
1000,0,0,38,equal allocation
1825,0,0,38,equal allocation
3650,0,0,38,equal allocation
5000,0,0,38,equal allocation
7300,0,0,38,equal allocation
10000,0,0,38,equal allocation
730,0,0,39,equal allocation
1000,0,0,39,equal allocation
1825,0,0,39,equal allocation
3650,0,0,39,equal allocation
5000,0,0,39,equal allocation
7300,0,0,39,equal allocation
10000,0,0,39,equal allocation
730,0,0,40,equal allocation
1000,0,0,40,equal allocation
1825,0,0,40,equal allocation
3650,0,0,40,equal allocation
5000,0,0,40,equal allocation
7300,0,0,40,equal allocation
10000,0,0,40,equal allocation
730,0,0,41,equal allocation
1000,0,0,41,equal allocation
1825,0,0,41,equal allocation
3650,0,0,41,equal allocation
5000,0,0,41,equal allocation
7300,0,0,41,equal allocation
10000,0,0,41,equal allocation
730,0,0,42,equal allocation
1000,0,0,42,equal allocation
1825,0,0,42,equal allocation
3650,0,0,42,equal allocation
5000,0,0,42,equal allocation
7300,0,0,42,equal allocation
10000,0,0,42,equal allocation
730,0,0,43,equal allocation
1000,0,0,43,equal allocation
1825,0,0,43,equal allocation
3650,0,0,43,equal allocation
5000,0,0,43,equal allocation
7300,0,0,43,equal allocation
10000,0,0,43,equal allocation
730,0,0,44,equal allocation
1000,0,0,44,equal allocation
1825,0,0,44,equal allocation
3650,0,0,44,equal allocation
5000,0,0,44,equal allocation
7300,0,0,44,equal allocation
10000,0,0,44,equal allocation
730,0,0,45,equal allocation
1000,0,0,45,equal allocation
1825,0,0,45,equal allocation
3650,0,0,45,equal allocation
5000,0,0,45,equal allocation
7300,0,0,45,equal allocation
10000,0,0,45,equal allocation
730,0,0,46,equal allocation
1000,0,0,46,equal allocation
1825,0,0,46,equal allocation
3650,0,0,46,equal allocation
5000,0,0,46,equal allocation
7300,0,0,46,equal allocation
10000,0,0,46,equal allocation
730,0,0,47,equal allocation
1000,0,0,47,equal allocation
1825,0,0,47,equal allocation
3650,0,0,47,equal allocation
5000,0,0,47,equal allocation
7300,0,0,47,equal allocation
10000,0,0,47,equal allocation
730,0,0,48,equal allocation
1000,0,0,48,equal allocation
1825,0,0,48,equal allocation
3650,0,0,48,equal allocation
5000,0,0,48,equal allocation
7300,0,0,48,equal allocation
10000,0,0,48,equal allocation
730,0,0,49,equal allocation
1000,0,0,49,equal allocation
1825,0,0,49,equal allocation
3650,0,0,49,equal allocation
5000,0,0,49,equal allocation
7300,0,0,49,equal allocation
10000,0,0,49,equal allocation
730,0,0,50,equal allocation
1000,0,0,50,equal allocation
1825,0,0,50,equal allocation
3650,0,0,50,equal allocation
5000,0,0,50,equal allocation
7300,0,0,50,equal allocation
10000,0,0,50,equal allocation
730,0,0,51,equal allocation
1000,0,0,51,equal allocation
1825,0,0,51,equal allocation
3650,0,0,51,equal allocation
5000,0,0,51,equal allocation
7300,0,0,51,equal allocation
10000,0,0,51,equal allocation
730,0,0,52,equal allocation
1000,0,0,52,equal allocation
1825,0,0,52,equal allocation
3650,0,0,52,equal allocation
5000,0,0,52,equal allocation
7300,0,0,52,equal allocation
10000,0,0,52,equal allocation
730,0,0,53,equal allocation
1000,0,0,53,equal allocation
1825,0,0,53,equal allocation
3650,0,0,53,equal allocation
5000,0,0,53,equal allocation
7300,0,0,53,equal allocation
10000,0,0,53,equal allocation
730,0,0,54,equal allocation
1000,0,0,54,equal allocation
1825,0,0,54,equal allocation
3650,0,0,54,equal allocation
5000,0,0,54,equal allocation
7300,0,0,54,equal allocation
10000,0,0,54,equal allocation
730,0,0,55,equal allocation
1000,0,0,55,equal allocation
1825,0,0,55,equal allocation
3650,0,0,55,equal allocation
5000,0,0,55,equal allocation
7300,0,0,55,equal allocation
10000,0,0,55,equal allocation
730,0,0,56,equal allocation
1000,0,0,56,equal allocation
1825,0,0,56,equal allocation
3650,0,0,56,equal allocation
5000,0,0,56,equal allocation
7300,0.06,0,56,equal allocation
10000,0.13,0,56,equal allocation
730,0,0,57,equal allocation
1000,0,0,57,equal allocation
1825,0,0,57,equal allocation
3650,0,0,57,equal allocation
5000,0,0,57,equal allocation
7300,0,0,57,equal allocation
10000,0,0,57,equal allocation
730,0,0,58,equal allocation
1000,0,0,58,equal allocation
1825,0,0,58,equal allocation
3650,0,0,58,equal allocation
5000,0,0,58,equal allocation
7300,0,0,58,equal allocation
10000,0,0,58,equal allocation
730,0,0,59,equal allocation
1000,0,0,59,equal allocation
1825,0,0,59,equal allocation
3650,0,0,59,equal allocation
5000,0,0,59,equal allocation
7300,0,0,59,equal allocation
10000,0,0,59,equal allocation
730,0,0,60,equal allocation
1000,0,0,60,equal allocation
1825,0,0,60,equal allocation
3650,0,0,60,equal allocation
5000,0,0,60,equal allocation
7300,0,0,60,equal allocation
10000,0,0,60,equal allocation
730,0,0,61,equal allocation
1000,0,0,61,equal allocation
1825,0,0,61,equal allocation
3650,0,0,61,equal allocation
5000,0,0,61,equal allocation
7300,0,0,61,equal allocation
10000,0,0,61,equal allocation
730,0,0,62,equal allocation
1000,0,0,62,equal allocation
1825,0,0,62,equal allocation
3650,0,0,62,equal allocation
5000,0,0,62,equal allocation
7300,0,0,62,equal allocation
10000,0,0,62,equal allocation
730,0,0,63,equal allocation
1000,0,0,63,equal allocation
1825,0,0,63,equal allocation
3650,0.02,0,63,equal allocation
5000,0.11,0,63,equal allocation
7300,0.29,0,63,equal allocation
10000,0.35,0,63,equal allocation
730,0,0,64,equal allocation
1000,0,0,64,equal allocation
1825,0,0,64,equal allocation
3650,0,0,64,equal allocation
5000,0,0,64,equal allocation
7300,0.02,0,64,equal allocation
10000,0.04,0,64,equal allocation
730,0,0,65,equal allocation
1000,0,0,65,equal allocation
1825,0,0,65,equal allocation
3650,0,0,65,equal allocation
5000,0,0,65,equal allocation
7300,0,0,65,equal allocation
10000,0,0,65,equal allocation
730,0,0,66,equal allocation
1000,0,0,66,equal allocation
1825,0,0,66,equal allocation
3650,0,0,66,equal allocation
5000,0,0,66,equal allocation
7300,0,0,66,equal allocation
10000,0,0,66,equal allocation
730,0,0,67,equal allocation
1000,0,0,67,equal allocation
1825,0,0,67,equal allocation
3650,0,0,67,equal allocation
5000,0,0,67,equal allocation
7300,0,0,67,equal allocation
10000,0,0,67,equal allocation
730,0,0,68,equal allocation
1000,0,0,68,equal allocation
1825,0,0,68,equal allocation
3650,0.05,0,68,equal allocation
5000,0.45,0,68,equal allocation
7300,0.86,0,68,equal allocation
10000,0.99,0,68,equal allocation
730,0,0,69,equal allocation
1000,0,0,69,equal allocation
1825,0,0,69,equal allocation
3650,0.06,0,69,equal allocation
5000,0.19,0,69,equal allocation
7300,0.37,0,69,equal allocation
10000,0.43,0,69,equal allocation
730,0,0,70,equal allocation
1000,0,0,70,equal allocation
1825,0,0,70,equal allocation
3650,0,0,70,equal allocation
5000,0,0,70,equal allocation
7300,0,0,70,equal allocation
10000,0,0,70,equal allocation
730,0,0,71,equal allocation
1000,0,0,71,equal allocation
1825,0,0,71,equal allocation
3650,0,0,71,equal allocation
5000,0,0,71,equal allocation
7300,0,0,71,equal allocation
10000,0,0,71,equal allocation
730,0,0,72,equal allocation
1000,0,0,72,equal allocation
1825,0,0,72,equal allocation
