step,parameter_comb,strategy,prop_runs_prevA_above,prop_runs_prevB_above,prop_runs_prevC_above
730,363,equal allocation,0,0,0
1000,363,equal allocation,0,0,0
1825,363,equal allocation,0,0,0
3650,363,equal allocation,0,0,0
5000,363,equal allocation,0,0,0
7300,363,equal allocation,0,0.04,0
10000,363,equal allocation,0,0.06,0
